ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass,thrust,fid,cost_grid
373.0,6319.562656384964,3105.416257180531,6670.539910685518,52.07704318340315,3.471137757709493,21885.0,0.82,499.94,3500.0,252.34,26.35,77448.0,65446.0,EIN84X_1515,0.0
394.0,1259.5222521965525,1494.482087764465,7039.432127926239,52.06259048397354,3.3970901879063886,23095.0,0.82,497.49,3500.0,252.34,26.12,77422.0,64811.0,EIN84X_1515,0.0
415.0,-3775.432629090381,-108.46575688057727,7408.324345165698,52.04816332562274,3.323457358215897,24306.0,0.82,495.02,3500.0,252.34,25.86,77396.0,64088.0,EIN84X_1515,0.0
436.0,-8785.176387748439,-1703.3872903478016,7777.216562403894,52.03376286266516,3.250240515657787,25516.0,0.82,492.54,3500.0,252.34,25.56,77371.0,63282.0,EIN84X_1515,0.0
456.0,-13769.581518948113,-3290.2419197145196,8146.108779631809,52.019390234142215,3.177440859127391,26726.0,0.8187,489.3,3500.0,252.34,25.24,77346.0,62425.0,EIN84X_1515,0.0
477.0,-18720.90084318348,-4866.563222753074,8515.000996860417,52.00506861939164,3.105170808063071,27936.0,0.8149,484.51,3500.0,252.34,24.91,77321.0,61541.0,EIN84X_1515,0.0
498.0,-23623.424825479735,-6427.349850738983,8883.893214090027,51.99084460455946,3.0336586032748065,29147.0,0.8085,478.24,3071.0,252.34,24.55,77296.0,60612.0,EIN84X_1515,0.0
519.0,-28466.468271914157,-7969.200023732071,9207.599405258377,51.9767506742579,2.9630586893526476,30209.0,0.805,473.98,2571.0,252.34,25.47,77271.0,63033.0,EIN84X_1515,0.0
539.0,-33270.82756238246,-9498.734558238986,9478.606708298044,51.962727641397784,2.893066635361762,31098.0,0.8047,471.98,2071.0,252.34,24.93,77246.0,61604.0,EIN84X_1515,0.0
560.0,-38059.08767373534,-11023.14369545978,9696.915123187868,51.94871034249008,2.823352743375906,31814.0,0.8093,473.18,1571.0,252.34,24.46,77221.0,60382.0,EIN84X_1515,0.0
581.0,-42863.177553485664,-12552.592459486945,9862.524649922749,51.9346053580655,2.7534522247473543,32357.0,0.8018,467.68,1071.0,252.34,23.9,77197.0,58924.0,EIN84X_1515,0.0
602.0,-47614.57985347774,-14065.267400528588,9975.43528850307,51.920614377933795,2.68436159568919,32728.0,0.794,462.39,571.0,252.34,20.52,77177.0,50627.0,EIN84X_1515,0.0
622.0,-52314.881046943585,-15561.67359439383,10035.647038935556,51.906734101374056,2.6160564516538476,32925.0,0.7855,456.99,71.0,252.34,16.91,77160.0,42259.0,EIN84X_1515,0.0
643.0,-56962.426160554336,-17041.284157341095,10043.159901246128,51.89297076984924,2.548559516548968,32950.0,0.7841,456.17,-0.0,252.34,16.38,77144.0,41051.0,EIN84X_1515,0.0
664.0,-61601.90173325106,-18518.325669961247,10043.159901096142,51.8791928512931,2.4812210581308745,32950.0,0.7841,456.16,-0.0,252.34,16.38,77127.0,41044.0,EIN84X_1515,0.0
685.0,-66241.32310539224,-19995.349927246083,10043.15990094525,51.86537668609473,2.4139247008671916,32950.0,0.7841,456.16,-0.0,252.34,16.37,77111.0,41037.0,EIN84X_1515,0.0
705.0,-70880.69022981988,-21472.356914202508,10043.159900793476,51.85152231838578,2.3466705129361918,32950.0,0.7841,456.15,-0.0,252.34,16.37,77095.0,41030.0,EIN84X_1515,0.0
726.0,-75520.00305930543,-22949.346615817292,10043.15990064085,51.83762979235351,2.2794585620665226,32950.0,0.7841,456.15,-0.0,252.34,16.37,77078.0,41023.0,EIN84X_1515,0.0
747.0,-80159.26154655695,-24426.319017059704,10043.159900487393,51.82369915224027,2.212288915537436,32950.0,0.7841,456.14,-0.0,252.34,16.36,77062.0,41015.0,EIN84X_1515,0.0
768.0,-84798.46564421906,-25903.27410288174,10043.159900333125,51.80973044234296,2.145161640179141,32950.0,0.7841,456.14,-0.0,252.34,16.36,77045.0,41008.0,EIN84X_1515,0.0
788.0,-89437.6153048735,-27380.2118582178,10043.15990017807,51.795723707012435,2.0780768023731624,32950.0,0.7841,456.13,-0.0,252.34,16.36,77029.0,41001.0,EIN84X_1515,0.0
809.0,-94076.71048068347,-28857.132267848367,10043.159900022256,51.7816789906543,2.0110344680578565,32950.0,0.7841,456.13,-0.0,252.34,16.35,77013.0,40994.0,EIN84X_1515,0.0
0.0,-75606.2311430264,-1944.0288638835266,30.48000001886239,52.3166163933672,4.7463002438382516,100.0,0.5,330.63,3500.0,87.21,27.67,77972.0,107773.0,EJU42KM_1219,0.0860607223043696
16.0,-72937.41766083575,-1813.7941575554473,311.7669913596236,52.318149814085885,4.785530264738395,1023.0,0.5371,354.01,3500.0,88.1,27.09,77945.0,101848.0,EJU42KM_1219,0.086454539960075
